timestamp,NIR_proxy_broad
27.2322,48.16
27.2701,48.16
27.3071,48.12
27.3397,48.14
27.3726,48.15
27.4323,48.09
27.4702,48.11
27.5075,48.07
27.5419,48.04
27.5751,48.04
27.6385,48.04
27.6742,48.00
27.7085,47.97
27.7411,47.95
27.7738,47.97
27.8362,47.98
27.8739,47.99
27.9068,48.01
27.9413,48.04
27.9733,48.05
28.0335,48.08
28.0671,48.03
28.1006,48.02
28.1386,48.01
28.1736,47.97
28.2389,47.94
28.2729,47.98
28.3088,47.97
28.3446,47.99
28.3775,47.98
28.4384,47.96
28.4731,47.95
28.5075,47.98
28.5409,48.04
28.5748,48.03
28.6379,47.97
28.6745,48.00
28.7083,47.99
28.7432,48.01
28.7740,48.00
28.8381,47.98
28.8733,47.94
28.9066,47.90
28.9396,47.90
28.9764,47.92
29.0330,47.91
29.0910,47.87
29.1206,47.90
29.1539,47.88
29.1909,47.88
29.2206,47.86
29.2580,47.81
29.2880,47.79
29.3263,47.84
29.3620,47.80
29.3925,47.84
29.4231,47.89
29.4622,47.82
29.4989,47.85
29.5402,47.83
29.5743,47.86
29.6401,47.83
29.6749,47.83
29.7093,47.83
29.7444,47.84
29.7756,47.82
29.8329,47.84
29.8665,47.85
29.9082,47.83
29.9406,47.83
29.9753,47.85
30.0390,47.79
30.0709,47.91
30.1080,47.79
30.1419,47.80
30.1786,47.84
30.2404,47.85
30.2750,47.85
30.3072,47.78
30.3423,47.74
30.3734,47.83
30.4384,47.90
30.4741,47.89
30.5093,47.94
30.5426,47.85
30.5754,47.85
30.6384,47.82
30.6696,47.81
30.7060,47.85
30.7424,47.86
30.7760,47.87
30.8404,47.92
30.8918,47.97
30.9229,47.91
30.9629,47.95
30.9945,47.96
31.0260,47.99
31.0619,47.95
31.1034,47.97
31.1377,47.95
31.1728,47.93
31.2351,47.90
31.2645,47.90
31.3041,47.89
31.3431,47.90
31.3762,47.87
31.4380,47.85
31.4691,47.86
31.5071,47.84
31.5436,47.81
31.5767,47.86
31.6404,47.80
31.6725,47.89
31.7071,47.88
31.7432,47.86
31.7750,47.83
31.8364,47.77
31.8658,47.76
31.9009,47.77
31.9353,47.72
31.9724,47.74
32.0387,47.72
32.0736,47.71
32.1097,47.70
32.1432,47.71
32.1754,47.69
32.2401,47.71
32.2744,47.76
32.3098,47.81
32.3438,47.83
32.3750,47.89
32.4373,47.86
32.4638,47.80
32.4998,47.82
32.5423,47.80
32.5748,47.82
32.6406,47.79
32.7084,47.81
32.7445,47.75
32.7752,47.73
32.8380,47.69
32.9074,47.61
32.9441,47.56
32.9771,47.51
33.0415,47.51
33.1018,47.49
33.1355,47.49
33.1712,47.47
33.2392,47.48
33.2699,47.49
33.3005,47.48
33.3354,47.42
33.3740,47.47
33.4376,47.49
33.5055,47.48
33.5424,47.48
33.5765,47.44
33.6402,47.49
33.6683,47.47
33.6997,47.48
33.7365,47.46
33.7743,47.47
33.8423,47.49
33.8677,47.45
33.9053,47.45
33.9423,47.47
33.9757,47.45
34.0424,47.45
34.0777,47.41
34.1083,47.43
34.1452,47.42
34.1778,47.41
34.2420,47.38
34.2776,47.36
34.3107,47.34
34.3424,47.29
34.3774,47.30
34.4426,47.34
34.4741,47.32
34.5076,47.33
34.5440,47.24
34.5770,47.23
34.6429,47.19
34.6769,47.17
34.7112,47.12
34.7438,47.10
34.7775,47.02
34.8419,46.99
34.8751,46.97
34.9104,46.98
34.9455,46.95
34.9780,46.96
35.0423,47.02
35.0754,47.01
35.1104,47.04
35.1458,47.02
35.1782,47.03
35.2449,47.07
35.2770,47.07
35.3113,47.04
35.3451,47.06
35.3784,47.04
35.4423,46.97
35.4778,47.01
35.5086,46.93
35.5457,46.88
35.5783,46.87
35.6414,46.84
35.6744,46.85
35.7094,46.84
35.7460,46.92
35.7773,46.86
35.8429,46.86
35.8889,46.89
35.9282,46.95
35.9660,46.95
35.9949,46.91
36.0310,46.90
36.0622,46.87
36.1017,46.84
36.1360,46.80
36.1729,46.81
36.2284,46.86
36.2792,46.87
36.3296,46.85
36.3639,46.87
36.3881,46.81
36.4283,46.82
36.4571,46.88
36.4927,46.88
36.5279,46.86
36.5655,46.89
36.5960,46.85
36.6314,46.79
36.6615,46.79
36.6993,46.79
36.7361,46.74
36.7684,46.66
36.7962,46.61
36.8425,46.54
36.9049,46.43
36.9456,46.41
36.9792,46.36
37.0424,46.36
37.0780,46.35
37.1107,46.35
37.1465,46.35
37.1787,46.36
37.2430,46.32
37.2789,46.31
37.3094,46.27
37.3472,46.29
37.3794,46.28
37.4442,46.32
37.4780,46.31
37.5409,46.30
37.5759,46.33
37.6454,46.25
37.6735,46.19
37.7096,46.19
37.7444,46.16
37.7786,46.09
37.8437,46.06
37.8774,46.03
37.9460,45.99
37.9784,45.99
38.0435,45.93
38.0761,45.91
38.1068,45.88
38.1411,45.93
38.1778,45.81
38.2437,45.87
38.2750,45.80
38.3322,45.78
38.3682,45.70
38.4023,45.70
38.4381,45.64
38.4693,45.66
38.4996,45.66
38.5427,45.63
38.5765,45.65
38.6377,45.65
38.6766,45.63
38.7119,45.65
38.7451,45.65
38.7794,45.61
38.8465,45.62
38.8737,45.62
38.9049,45.61
38.9392,45.60
38.9734,45.58
39.0415,45.62
39.0720,45.53
39.1042,45.50
39.1399,45.51
39.1766,45.48
39.2447,45.41
39.2780,45.43
39.3456,45.33
39.3805,45.31
